,FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
3022,,,Aichi,Japan,2020-05-30 02:32:48,35.035551,137.211621,506,34,453,19,"Aichi, Japan",6.699999827865617,6.7193675889328075
3023,,,Akita,Japan,2020-05-30 02:32:48,39.748679,140.408228,16,0,16,0,"Akita, Japan",1.6554749661144967,0.0
3036,,,Aomori,Japan,2020-05-30 02:32:48,40.781541,140.828896,27,1,25,1,"Aomori, Japan",2.1662891707204355,3.703703703703704
3090,,,Chiba,Japan,2020-05-30 02:32:48,35.510141,140.198917,906,45,804,57,"Chiba, Japan",14.474272380244567,4.966887417218543
3106,,,Ehime,Japan,2020-05-30 02:32:48,33.624835,132.856842,83,4,50,29,"Ehime, Japan",6.197660569811419,4.819277108433735
3116,,,Fukui,Japan,2020-05-30 02:32:48,35.846614,136.22465400000002,122,8,109,5,"Fukui, Japan",15.886719874156347,6.557377049180328
3117,,,Fukuoka,Japan,2020-05-30 02:32:48,33.526032,130.666949,727,25,616,86,"Fukuoka, Japan",14.24462627841602,3.43878954607978
3118,,,Fukushima,Japan,2020-05-30 02:32:48,37.378867,140.223295,81,0,74,7,"Fukushima, Japan",4.389009270562915,0.0
3122,,,Gifu,Japan,2020-05-30 02:32:48,35.778671,137.055925,150,7,141,2,"Gifu, Japan",7.550638356135424,4.666666666666667
3135,,,Gunma,Japan,2020-05-30 02:32:48,36.504479,138.985605,149,19,117,13,"Gunma, Japan",7.670701421293455,12.751677852348996
3143,,,Hiroshima,Japan,2020-05-30 02:32:48,34.605309000000005,132.788719,164,3,151,10,"Hiroshima, Japan",5.848418270316032,1.8292682926829267
3144,,,Hokkaido,Japan,2020-05-30 02:32:48,43.385711,142.552318,1073,86,770,217,"Hokkaido, Japan",20.43790448432005,8.014911463187325
3151,,,Hyogo,Japan,2020-05-30 02:32:48,35.039913,134.828057,699,41,625,33,"Hyogo, Japan",12.787700390948725,5.865522174535051
3152,,,Ibaraki,Japan,2020-05-30 02:32:48,36.303588,140.319591,168,10,147,11,"Ibaraki, Japan",5.873495397522015,5.9523809523809526
3155,,,Ishikawa,Japan,2020-05-30 02:32:48,36.769464,136.771027,298,24,218,56,"Ishikawa, Japan",26.19437102304841,8.053691275167786
3162,,,Kagawa,Japan,2020-05-30 02:32:48,34.217292,133.969047,28,0,28,0,"Kagawa, Japan",2.927807584485548,0.0
3163,,,Kagoshima,Japan,2020-05-30 02:32:48,31.009484000000004,130.430665,10,0,10,0,"Kagoshima, Japan",0.6241133689452422,0.0
3164,,,Kanagawa,Japan,2020-05-30 02:32:48,35.415312,139.338983,1359,85,1061,213,"Kanagawa, Japan",14.774520594529314,6.254598969830758
3165,,,Kochi,Japan,2020-05-30 02:32:48,33.422519,133.367307,74,3,70,1,"Kochi, Japan",10.601278743433296,4.0540540540540535
3166,,,Kumamoto,Japan,2020-05-30 02:32:48,32.608154,130.74523100000002,47,3,39,5,"Kumamoto, Japan",2.6894533943476846,6.382978723404255
3167,,,Kyoto,Japan,2020-05-30 02:32:48,35.253815,135.443341,358,16,323,19,"Kyoto, Japan",13.860083617342449,4.46927374301676
3199,,,Mie,Japan,2020-05-30 02:32:48,34.508018,136.376013,45,1,41,3,"Mie, Japan",2.526837825302294,2.2222222222222223
3201,,,Miyagi,Japan,2020-05-30 02:32:48,38.446859,140.927086,88,1,87,0,"Miyagi, Japan",3.8155278977958815,1.1363636363636365
3202,,,Miyazaki,Japan,2020-05-30 02:32:48,32.193203999999994,131.299374,17,0,17,0,"Miyazaki, Japan",1.583898645393976,0.0
3208,,,Nagano,Japan,2020-05-30 02:32:48,36.132134,138.045528,75,0,67,8,"Nagano, Japan",3.660697289619727,0.0
3209,,,Nagasaki,Japan,2020-05-30 02:32:48,33.235712,129.608033,17,1,16,0,"Nagasaki, Japan",1.2815448495466346,5.882352941176472
3210,,,Nara,Japan,2020-05-30 02:32:48,34.317451,135.871644,92,2,86,4,"Nara, Japan",6.916653572639523,2.1739130434782608
3219,,,Niigata,Japan,2020-05-30 02:32:48,37.521819,138.918647,82,0,77,5,"Niigata, Japan",3.688533070397903,0.0
3231,,,Oita,Japan,2020-05-30 02:32:48,33.200697,131.43323999999998,60,1,58,1,"Oita, Japan",5.284322998958988,1.6666666666666667
3232,,,Okayama,Japan,2020-05-30 02:32:48,34.89246,133.826252,25,0,25,0,"Okayama, Japan",1.323041131761137,0.0
3233,,,Okinawa,Japan,2020-05-30 02:32:48,25.768923,126.668016,145,6,136,3,"Okinawa, Japan",9.978199354788986,4.137931034482759
3235,,,Osaka,Japan,2020-05-30 02:32:48,34.620965000000005,135.507481,1782,82,1539,161,"Osaka, Japan",20.228477359827266,4.601571268237935
3247,,,Port Quarantine,Japan,2020-05-30 02:32:48,,,190,0,153,37,"Port Quarantine, Japan",,0.0
3272,,,Saga,Japan,2020-05-30 02:32:48,33.286977,130.115738,45,0,37,8,"Saga, Japan",5.523431008050707,0.0
3275,,,Saitama,Japan,2020-05-30 02:32:48,35.997101,139.347635,1004,48,888,68,"Saitama, Japan",13.660434524271967,4.7808764940239055
3290,,,Shiga,Japan,2020-05-30 02:32:48,35.21582700000001,136.138064,100,1,91,8,"Shiga, Japan",7.072420882595693,1.0
3291,,,Shimane,Japan,2020-05-30 02:32:48,35.07076,132.55406399999998,24,0,20,4,"Shimane, Japan",3.5590038348266315,0.0
3292,,,Shizuoka,Japan,2020-05-30 02:32:48,34.916975,138.40778400000002,75,1,72,2,"Shizuoka, Japan",2.0584444527392134,1.3333333333333333
3311,,,Tochigi,Japan,2020-05-30 02:32:48,36.689912,139.819213,65,0,46,19,"Tochigi, Japan",3.36092740913862,0.0
3312,,,Tokushima,Japan,2020-05-30 02:32:48,33.919178,134.242091,5,1,4,0,"Tokushima, Japan",0.6868348862670112,20.0
3313,,,Tokyo,Japan,2020-05-30 02:32:48,35.711343,139.446921,5221,302,4501,418,"Tokyo, Japan",37.505397551826384,5.784332503351848
3316,,,Tottori,Japan,2020-05-30 02:32:48,35.359069,133.863619,3,0,3,0,"Tottori, Japan",0.5399976240104544,0.0
3317,,,Toyama,Japan,2020-05-30 02:32:48,36.637464,137.26934599999998,227,22,187,18,"Toyama, Japan",21.75367177063389,9.691629955947137
3325,,,Unknown,Japan,2020-05-30 02:32:48,,,8,0,0,8,"Unknown, Japan",,0.0
3336,,,Wakayama,Japan,2020-05-30 02:32:48,33.911879,135.505446,63,3,57,3,"Wakayama, Japan",6.811304170139892,4.761904761904762
3339,,,Yamagata,Japan,2020-05-30 02:32:48,38.448396,140.102154,69,0,66,3,"Yamagata, Japan",6.402725890953227,0.0
3340,,,Yamaguchi,Japan,2020-05-30 02:32:48,34.201190000000004,131.573293,37,0,35,2,"Yamaguchi, Japan",2.7239210327930645,0.0
3341,,,Yamanashi,Japan,2020-05-30 02:32:48,35.612364,138.61148899999998,64,1,57,6,"Yamanashi, Japan",7.891920153497847,1.5625
